"FileName	CharacterName	ExpressionName	DialogueEN	DialogueID"
"1-Beach-0-5	Elara	Normal	I have to <b>follow them</b>.	Aku harus <b>mengikuti mereka</b>."
"				"
"1-Beach-0-6	Elara	Questioning	Everything's slowly returning to normal? Is it because of those butterflies earlier?	Semuanya perlahan kembali normal? Gara-gara kupu-kupu tadi, ya?"
"1-Beach-0-6	Elara	Questioning	It seems like they're not ordinary butterflies?	Sepertinya mereka bukan kupu-kupu biasa?"
"				"
"1-Beach-0-7	Elara	Happy	I'm back. Good thing those strange butterflies were there.	Akhirnya aku kembali. Untung tadi ada kupu-kupu aneh itu."
"1-Beach-0-7	Elara	Sad	Phew. What actually happened?	Huft. Apa yang sebenarnya terjadi."
"1-Beach-0-7	Elara	Normal		"
"1-Beach-0-7	Elara	Sad	I must be exhausted.	Sepertinya aku kelelahan."
"				"
"1-Beach-0-8-Nova	Elara	Questioning	Huh. That uncle again.	Lah. Si Om lagi."
"1-Beach-0-8-Nova	Elara	Questioning	Why are you here?	Kok ke sini?"
"1-Beach-0-8-Nova	Nova	Normal	It's nothing. Just ignore me.	Gapapa. Abaikan saja aku."
"1-Beach-0-8-Nova	Nova	Normal	Why were you lying there earlier?	Tadi kamu kenapa tiduran di sana?"
"1-Beach-0-8-Nova	Elara	Questioning	(So this Uncle has been watching me all this time??)	(Jadi selama ini Si Om ngeliatin aku??)"
"1-Beach-0-8-Nova	Elara	Sad	(Hmmmmmm. This uncle is kinda creepy.)	(Hmmmmmm. Rada serem om-om satu ini.)"
"1-Beach-0-8-Nova	Elara	Normal		"
"1-Beach-0-8-Nova	Elara	Angry	You already knew someone had fainted. And you just left her there.	Udah tau ada orang pingsan. Malah didiemin."
"1-Beach-0-8-Nova	Nova	Normal	You were surrounded by butterflies earlier. I was afraid that if I helped you, they'd fly away.	Tadi kamu dikerumunin kupu-kupu soalnya. Takutnya kalo kubantu, kupu-kupunya malah lari."
"1-Beach-0-8-Nova	Elara	Angry	(What kind of excuse is that??)	(Alasan apa pula itu??)"
"1-Beach-0-8-Nova	Elara	Angry	That doesn't help!	Gak ngebantu!"
"1-Beach-0-8-Nova	Nova	Normal	I told you, this place is haunted.	Kan udah kubilang, tempat ini angker."
"1-Beach-0-8-Nova	Nova	Normal	Even the butterflies are weird. They're pitch black.	Kupu-kupunya pun aneh tuh. Item pekat gitu."
"1-Beach-0-8-Nova	Elara	Normal	At least the butterflies helped me earlier.	Setidaknya kupu-kupunya ngebantu aku tadi."
"1-Beach-0-8-Nova	Nova	Normal	Helped you?	Ngebantu?"
"1-Beach-0-8-Nova	Elara	Normal	Yeah, I followed them. Then I woke up.	Iya, tadi aku ngikutin mereka. Setelah itu aku kebangun."
"1-Beach-0-8-Nova	Nova	Normal	Hmmm. Good, then.	Hmmm. Bagus kalo gitu."
"1-Beach-0-8-Nova	Nova	Normal	Just follow them then. It seems like <b>those butterflies are guiding your way</b>.	Ikutin aja brarti. Sepertinya <b>Kupu-kupu itu memandu jalanmu</b>."
"1-Beach-0-8-Nova	Elara	Normal	Hemm. Yeah, I know.	Hemm. Iya tau."
"1-Beach-0-8-Nova	Elara	Happy	Alright. I'm going to find Dad.	Yaudah. Aku mo nemuin Ayah."
"				"
"1-Beach-0-9	Elara	Happy	This is the moment.	Ini saatnya."
"1-Beach-0-9	Elara	-	*locked*	*terkunci"
"1-Beach-0-9	Elara	Questioning	Huhh. Why is it locked? Dad isn't inside?	Lahh. Kok kekunci? Ayah gak di dalem?"
"1-Beach-0-9	Elara	Questioning	Your dad isn't here?	Ayahmu gak ada?"
"1-Beach-0-9	Elara	Normal	Yeah. He's usually inside.	Iya, loh. Biasanya dia di dalam."
"1-Beach-0-9	Elara	Questioning	Maybe he went out?	Lagi keluar mungkin?"
"1-Beach-0-9	Elara	Normal	Yeah, maybe. I'll check the <b>left side of the beach</b> first.	Iya kali ya? Aku coba cek di <b>sisi kiri pantai</b> dulu deh."
"1-Beach-0-9	Elara	Normal	We used to play there a lot.	Dulu kami sering main di sana."
"				"
"1-Beach-0-10	Elara	-	*locked*	*terkunci"
"1-Beach-0-10	Elara	Normal	Dad must be somewhere around the beach.	Sepertinya ayah ada di sekitar pantai."
"				"
"1-Beach-0-11	Elara	Questioning	Uncle's gone again?	Si Om dah ilang?"
"1-Beach-0-11	Elara	Angry	Whatever, that guy is seriously creepy.	Yaudahlah, tu orang nyeremin asli."
"				"
"1-Beach-0-12	Elara	Shocked	Huh. The door's open?	Lah. Kebuka pintunya?"
"1-Beach-0-12	Elara	Questioning	Is Dad inside?	Ayah di dalam, kah?"
"1-Beach-0-12	Elara	Normal	Okay, I'll just go in then.	Oke, aku masuk aja kalo gitu."
"				"
"1-Beach-0-13	Elara	Normal	Why would I go outside? Dad seems to be inside.	Ngapain aku keluar. Ayah sepertinya di dalam."
"				"
"1-Beach-1-1	Elara	Happy	Ahh, the melody of the waves.	Ahh, senandung ombak."
"1-Beach-1-1	Elara	Happy	Its dance, its breeze.	Tariannya, hembusannya."
"1-Beach-1-1	Elara	Happy	There's nothing quite like it.	Gak ada duanya pokokk."
"				"
"1-Beach-1-2	Elara	Sad	By the way, I don't see Dad here either.	Omong-omong aku gak ngeliat Ayah juga di sini."
"1-Beach-1-2	Elara	Questioning	Maybe I'll just wait for Dad?	Aku tungguin Ayah aja kali, ya?"
"1-Beach-1-2	Elara	Happy	My favorite place back then.	Tempat favoritku dulu."
"				"
"1-Beach-1-3	Elara	Shocked	OH MY GOD! This pressure again!	ASTAGA! Tekanan ini lagi!"
"1-Beach-1-3	Elara	Shocked	What now???	Sekarang apa lagi???"
"1-Beach-1-3	Elara	Shocked	A swing? First the lighthouse, now a swing??	Ayunan? Tadi mercusuar sekarang ayunan??"
"				"
"1-Beach-1-4	Elara	Shocked	ASGJASOIGJAOSIGJ	ASGJASOIGJAOSIGJ"
"1-Beach-1-4	Elara	Angry	THIS PLACE IS SO WEIRD.	GAKK ANEHH KOK TEMPAT INI."
"1-Beach-1-4	Elara	Normal	Calm down, Lara. You must be tired.	Tenang, Lara. Sepertinya kamu lelah."
"1-Beach-1-4	Elara	Normal	As long as it hasn't happened three times, it probably means your head is just dizzy.	Selagi belum 3 kali, brarti emang kepalamu yang lagi pusing."
"1-Beach-1-4	Elara	Normal	Remember what happened earlier. I have to <b>follow the butterflies</b>.	Inget cara tadi. Aku harus <b>ikutin kupu-kupu</b>."
"				"
"1-Beach-1-5	Elara	Questioning	Why is the rope broken? Why?	Kok talinya putus? Kenapa gitu?"
"1-Beach-1-5	Elara	Normal	Forget it, this is just my hallucination.	Lupakan, ini hanya halusinasiku."
"1-Beach-1-5	Elara	Normal	I have to get out first.	Aku harus keluar terlebih dahulu."
"1-Beach-1-5	Elara	Normal	Follow those butterflies again.	Ikutin kupu-kupu itu lagi."
"				"
"1-Beach-1-6	Elara	Happy	There. I'm out again.	Nahh. Aku keluar lagi."
"1-Beach-1-6	Elara	Happy	So the butterfly theory was right.	Berarti teori kupu-kupu itu benar."
"1-Beach-1-6	Elara	Questioning	Wait.	Tunggu."
"1-Beach-1-6	Elara	Questioning	But why is the swing's rope broken now?	Tapi kenapa sekarang tali ayunannya putus?"
"1-Beach-1-6	Elara	Questioning	Didn't it feel like this when I arrived earlier?	Perasaann tadi waktu nyampe gak gini?"
"1-Beach-1-6	Elara	Normal	I have to <b>fix the swing</b>.	Aku harus <b>perbaiki ayunannya</b>"
"				"
"1-Beach-1-7-Minigames	Elara	Normal	The swing's rope shouldn't be broken.	Harusnya tali ayunannya ini tidak putus."
"1-Beach-1-7-Minigames	Elara	Normal	I have to fix it.	Aku harus perbaikinya."
"				"
"1-Beach-1-8-Minigames	Elara	Happy	There. That's better.	Nah. Ini baru benar."
"1-Beach-1-8-Minigames	Elara	Happy	My favorite swing.	Ayunan favoritku."
"1-Beach-1-8-Minigames	Elara	Normal		"
"1-Beach-1-8-Minigames	Elara	Normal	Hmmmm.	Hmmmm."
"1-Beach-1-8-Minigames	Elara	Sad	Why am I getting scared being here for so long?	Kok aku jadi takut ya lama-lama di sini."
"1-Beach-1-8-Minigames	Elara	Sad	I'll go look for Dad again. Where is heee?	Aku cari Ayah lagi aja deh. Mana sih Ayahh."
"				"
"1-Interior-1	Elara	Happy	WHOA! This place hasn't changed much.	WAHH! Tempat ini gak banyak berubah."
"1-Interior-1	Elara	Happy	AWESO�	ASIKNY--"
"1-Interior-1	Elara	Happy	Oh, I shouldn't be loud. I want to surprise Dad when I show up.	Eh, aku gak boleh berisik. Aku mau ngagetin Ayah kalo aku dah nyampe."
"				"
"1-Interior-2	Elara	Normal	Dad's book collection.	Koleksi buku-buku Ayah."
"1-Interior-2	Elara	Normal	Ugh. They're so old-fashioned. Some are even older than me.	Duh. Jadul-jadul banget. Bahkan banyak yang lebih tua dariku."
"				"
"1-Interior-3	Elara	Normal	There's an empty glass on the table.	Ada gelas kosong nih di meja."
"1-Interior-3	Elara	Questioning	Looks like Dad was drinking. Then he just left it and went somewhere.	Sepertinya ayah habis minum. Trus ditinggal entah ke mana."
"				"
"1-Interior-4	Elara	Happy	Once I find Dad, I want to cook some noodles.	Pokok setelah ketemu Ayah, aku mau masak Mie."
"1-Interior-4	Elara	Happy	Instant noodles with a view sounds nice. I'll eat them on the swing later.	Mie Instan with the view kan asik. Ntar makan di ayunan."
"				"
"1-Interior-5	Elara	Normal	Here it is. The door to the top of the lighthouse.	Ini dia. Pintu ke mercusuar atas."
"1-Interior-5	Elara	Normal	Dad usually keeps watch up there while reading a book.	Biasanya ayah berjaga di atas sambil baca buku."
"1-Interior-5	Elara	Happy	I'll surprise him!	Kagetin ah!"
"				"
"1-Interior-6	Elara	-	*locked*	*terkunci"
"1-Interior-6	Elara	Angry	Like this every timeeee!	Gini aja terussss!"
"1-Interior-6	Elara	Questioning	Where could Dad be? Maybe in the next room??	Ni Ayah ke mana coba. Di ruang sebelah kah??"
"				"
"1-Interior-7	Elara	-	*locked*	*terkunci"
"				"
"1-Interior-8	Elara	Happy	Yep. Of course.	Yap. Tentu."
"1-Interior-8	Elara	Sad	Dad isn't in his study either.	Ayah gak ada di ruang kerjanya juga."
"1-Interior-8	Elara	Normal	I'll <b>check the desk</b> first. Maybe Dad left a note or something.	Aku coba <b>cek di meja</b> dulu kali, barangkali ayah ninggalin pesan ato apa gitu."
"				"
"1-Interior-9-Minigames	Elara	Questioning	Huh? Why is there a torn-up photo like this?	Lehh. Kenapa ada foto robek-robek gini?"
"1-Interior-9-Minigames	Elara	Questioning	Is this a photo of me?	Sepertinya fotoku?"
"1-Interior-9-Minigames	Elara	Angry	This is a serious offense, Dad.	Pelanggaran berat Ayah ini."
"1-Interior-9-Minigames	Elara	Normal	I'll fix it first.	Aku perbaiki dulu, deh."
"				"
"1-Interior-10-Minigames	Elara	Happy	There. All done.	Nah selesai."
"1-Interior-10-Minigames	Elara	Questioning	When did I take this photo?	Kapan aku ambil foto ini. "
"1-Interior-10-Minigames	Elara	Questioning	Wait, there's a date on it.	Bentar, ada tanggalnya."
"1-Interior-10-Minigames	Elara	Shocked	July 16, 199-	16 Juli 199-"
"1-Interior-10-Minigames	Elara	Shocked	HUH?! Isn't July 16 just yesterday? I feel like I only arrived this afternoon.	LAHH! 16 Juli bukannya kemaren? Perasaan aku baru nyampe siang ini."
"1-Interior-10-Minigames	Elara	Shocked	How could I have already taken this photo?	Kok bisa aku udah ambil foto duluan?"
"1-Interior-10-Minigames	Elara	Sad	Enoughhhh. Things are getting more and more confusing here.	Udahhhh. Semakin gak jelas di sini."
"1-Interior-10-Minigames	Elara	Normal	I have to find Dad. If he's not inside, then he must be outside.	Aku harus nyari ayah. Kalo di dalem gak ada, brarti ada di luar."
"				"
"1-Interior-11	Elara	Shocked	HAAAAHHHH???!!!	HAHHHH???!!!"
"1-Interior-11	Elara	Shocked	Why did it suddenly become such a mess???	Kokk tiba-tiba berantakan gini???"
"1-Interior-11	Elara	Sad	It's not just messy anymore. It looks like it hasn't been maintained.	Ini gak lagi berantakan, tapi kek dah gak terawat."
"1-Interior-11	Elara	Shocked	Ugh. I need to get out.	Aduhh. Aku musti keluar."
"				"
"1-Interior-12	Elara	Shocked	THAT'S THREE TIMES ALREADYYY. PLUS WHAT HAPPENED INSIDE.	UDAH 3 KALIII. KETAMBAHAN YANG DI DALEM TADI."
"1-Interior-12	Elara	Angry	FOR SURE. Something is wrong with this place.	FIX. Ada yang gak beres sama tempat ini."
"1-Interior-12	Elara	Sad	That uncle was right, this place really is haunted.	Bener kataa om tadi, ni tempat angker."
"1-Interior-12	Elara	Shocked	I have to get out of this place immediately.	Aku harus segera keluar dari tempat ini."
"1-Interior-12	Elara	Happy	Oh, right. The butterflies!	Ohya benar. Kupu-kupu!"
"1-Interior-12	Elara	Normal	I have to <b>find the butterflies</b>!	Aku harus <b>cari kupu-kupu</b>!"
"				"
"1-Interior-13	Elara	Shocked	WHHHHAAAAT???!!! WHAT THE HECK IS THAT???	WAHHHHH???!!! APA PULAK ITU???"
"				"
"1-Interior-14	Elara	Shocked	ASOIGFJAOSIDGJOID	ASOIGFJAOSIDGJOID"
"1-Interior-14	Elara	Shocked	Did I just die??	Aku barusan mati??"
"1-Interior-14	Elara	Shocked	Oh my god. No, no. I'm still here.	Astaga. Nggak-nggak. Aku masih di sini."
"1-Interior-14	Elara	Shocked	Whatever happens, I can't touch that fog. I have to run away immediately.	Yang pasti aku gak boleh nyentuh kabut itu. Aku harus segera lari."
"				"
"1-Interior-15	Elara	Happy	Ahhh. I did it.	Ahhh. Berhasil."
"1-Interior-15	Elara	Sad	This is seriously scary. I don't want to get trapped here for too long.	Serem banget asli. Gamau kejebak di sini lama-lama."
"1-Interior-15	Elara	Happy	Butterfliiies. Where are youuu!	Kupuu-kupu. Mana kamuuu!"
"				"
"1-Interior-16	Elara	Questioning	Wait, I didn't imagine that, right?	Eh, tadi aku gak salah lihat, kan?"
"1-Interior-16	Elara	Questioning	Was there a shadow that looked like me? Or was that me?	Ada bayangan mirip aku? Ato itu aku?"
"1-Interior-16	Elara	Shocked	This place is getting more and more wrong. I have to get out immediately.	Semakin gak bener tempat ini. Aku harus segera keluar."
"1-Interior-16	Elara	Questioning	Where's the exit?	Mana pintu keluarnya?"
"				"
"1-Interior-17	Elara	Happy	I'm back again.	Akhirnya aku kembali."
"1-Interior-17	Elara	Normal	I have to find another way out.	Aku harus cari jalan lain buat keluar."
"				"
"1-Interior-18	Elara	Sad	Oh my godddd. So I can't go through here.	Astagaaa. Berarti aku gabisa lewat sini."
"1-Interior-18	Elara	Questioning	Is there another way on the second floor?	Adakah jalan lain di lantai 2?"
"				"
"1-Interior-19	Elara	Sad	Great. Now the second floor is broken too.	Bagus. Sekarang lantai 2 juga ikutan rusak."
"1-Interior-19	Elara	Questioning	What actually happened here?	Apa yang sebenarnya terjadi di sini?"
"1-Interior-19	Elara	Shocked	I have to get out and find Dad.	Aku harus segera keluar dan cari ayah."
